n (x, y) c, cd
 0 (109 61) 7 7
 1 (108 62) 5 -2
 2 (108 63) 6 1
 3 (107 64) 5 -1
 4 (107 65) 6 1
 5 (106 66) 5 -1
 6 (106 67) 6 1
 7 (105 68) 5 -1
 8 (105 69) 6 1
 9 (104 70) 5 -1
 10 (104 71) 6 1
 11 (103 72) 5 -1
 12 (103 73) 6 1
 13 (102 74) 5 -1
 14 (102 75) 6 1
 15 (101 76) 5 -1
 16 (101 77) 6 1
 17 (100 78) 5 -1
 18 (100 79) 6 1
 19 (99 80) 5 -1
 20 (99 81) 6 1
 21 (98 82) 5 -1
 22 (98 83) 6 1
 23 (97 84) 5 -1
 24 (97 85) 6 1
 25 (96 86) 5 -1
 26 (96 87) 6 1
 27 (95 88) 5 -1
 28 (95 89) 6 1
 29 (94 90) 5 -1
 30 (94 91) 6 1
 31 (93 92) 5 -1
 32 (93 93) 6 1
 33 (92 94) 5 -1
 34 (92 95) 6 1
 35 (91 96) 5 -1
 36 (91 97) 6 1
 37 (90 98) 5 -1
 38 (90 99) 6 1
 39 (89 100) 5 -1
 40 (89 101) 6 1
 41 (88 102) 5 -1
 42 (88 103) 6 1
 43 (87 104) 5 -1
 44 (87 105) 6 1
 45 (86 106) 5 -1
 46 (86 107) 6 1
 47 (85 108) 5 -1
 48 (85 109) 6 1
 49 (84 110) 5 -1
 50 (84 111) 6 1
 51 (83 112) 5 -1
 52 (83 113) 6 1
 53 (82 114) 5 -1
 54 (82 115) 6 1
 55 (81 116) 5 -1
 56 (81 117) 6 1
 57 (80 118) 5 -1
 58 (80 119) 6 1
 59 (79 120) 5 -1
 60 (79 121) 6 1
 61 (78 122) 5 -1
 62 (78 123) 6 1
 63 (77 124) 5 -1
 64 (77 125) 6 1
 65 (76 126) 5 -1
 66 (76 127) 6 1
 67 (75 128) 5 -1
 68 (75 129) 6 1
 69 (74 130) 5 -1
 70 (74 131) 6 1
 71 (73 132) 5 -1
 72 (73 133) 6 1
 73 (72 134) 5 -1
 74 (72 135) 6 1
 75 (71 136) 5 -1
 76 (71 137) 6 1
 77 (70 138) 5 -1
 78 (70 139) 6 1
 79 (69 140) 5 -1
 80 (69 141) 6 1
 81 (68 142) 5 -1
 82 (68 143) 6 1
 83 (69 144) 7 1
 84 (70 144) 0 -7
 85 (71 144) 0 0
 86 (72 144) 0 0
 87 (73 144) 0 0
 88 (74 144) 0 0
 89 (75 144) 0 0
 90 (76 144) 0 0
 91 (77 144) 0 0
 92 (78 144) 0 0
 93 (79 144) 0 0
 94 (80 144) 0 0
 95 (81 144) 0 0
 96 (82 144) 0 0
 97 (83 144) 0 0
 98 (84 144) 0 0
 99 (85 144) 0 0
 100 (86 144) 0 0
 101 (87 144) 0 0
 102 (88 144) 0 0
 103 (89 144) 0 0
 104 (90 144) 0 0
 105 (91 144) 0 0
 106 (92 144) 0 0
 107 (93 144) 0 0
 108 (94 144) 0 0
 109 (95 144) 0 0
 110 (96 144) 0 0
 111 (97 144) 0 0
 112 (98 144) 0 0
 113 (99 144) 0 0
 114 (100 144) 0 0
 115 (101 144) 0 0
 116 (102 144) 0 0
 117 (103 144) 0 0
 118 (104 144) 0 0
 119 (105 144) 0 0
 120 (106 144) 0 0
 121 (107 144) 0 0
 122 (108 144) 0 0
 123 (109 144) 0 0
 124 (110 144) 0 0
 125 (111 144) 0 0
 126 (112 144) 0 0
 127 (113 144) 0 0
 128 (114 144) 0 0
 129 (115 144) 0 0
 130 (116 144) 0 0
 131 (117 144) 0 0
 132 (118 144) 0 0
 133 (119 144) 0 0
 134 (120 144) 0 0
 135 (121 144) 0 0
 136 (122 144) 0 0
 137 (123 144) 0 0
 138 (124 144) 0 0
 139 (125 144) 0 0
 140 (126 144) 0 0
 141 (127 144) 0 0
 142 (128 144) 0 0
 143 (129 144) 0 0
 144 (130 144) 0 0
 145 (131 144) 0 0
 146 (132 144) 0 0
 147 (133 144) 0 0
 148 (134 144) 0 0
 149 (135 144) 0 0
 150 (136 144) 0 0
 151 (137 144) 0 0
 152 (138 144) 0 0
 153 (139 144) 0 0
 154 (140 144) 0 0
 155 (141 144) 0 0
 156 (142 144) 0 0
 157 (143 144) 0 0
 158 (144 144) 0 0
 159 (145 144) 0 0
 160 (146 144) 0 0
 161 (147 144) 0 0
 162 (148 144) 0 0
 163 (149 144) 0 0
 164 (149 143) 2 2
 165 (148 142) 3 1
 166 (148 141) 2 -1
 167 (147 140) 3 1
 168 (147 139) 2 -1
 169 (146 138) 3 1
 170 (146 137) 2 -1
 171 (145 136) 3 1
 172 (145 135) 2 -1
 173 (144 134) 3 1
 174 (144 133) 2 -1
 175 (143 132) 3 1
 176 (143 131) 2 -1
 177 (142 130) 3 1
 178 (142 129) 2 -1
 179 (141 128) 3 1
 180 (141 127) 2 -1
 181 (140 126) 3 1
 182 (140 125) 2 -1
 183 (139 124) 3 1
 184 (139 123) 2 -1
 185 (138 122) 3 1
 186 (138 121) 2 -1
 187 (137 120) 3 1
 188 (137 119) 2 -1
 189 (136 118) 3 1
 190 (136 117) 2 -1
 191 (135 116) 3 1
 192 (135 115) 2 -1
 193 (134 114) 3 1
 194 (134 113) 2 -1
 195 (133 112) 3 1
 196 (133 111) 2 -1
 197 (132 110) 3 1
 198 (132 109) 2 -1
 199 (131 108) 3 1
 200 (131 107) 2 -1
 201 (130 106) 3 1
 202 (130 105) 2 -1
 203 (129 104) 3 1
 204 (129 103) 2 -1
 205 (129 102) 2 0
 206 (128 101) 3 1
 207 (128 100) 2 -1
 208 (127 99) 3 1
 209 (127 98) 2 -1
 210 (126 97) 3 1
 211 (126 96) 2 -1
 212 (125 95) 3 1
 213 (125 94) 2 -1
 214 (124 93) 3 1
 215 (124 92) 2 -1
 216 (123 91) 3 1
 217 (123 90) 2 -1
 218 (122 89) 3 1
 219 (122 88) 2 -1
 220 (121 87) 3 1
 221 (121 86) 2 -1
 222 (120 85) 3 1
 223 (120 84) 2 -1
 224 (119 83) 3 1
 225 (119 82) 2 -1
 226 (118 81) 3 1
 227 (118 80) 2 -1
 228 (117 79) 3 1
 229 (117 78) 2 -1
 230 (116 77) 3 1
 231 (116 76) 2 -1
 232 (115 75) 3 1
 233 (115 74) 2 -1
 234 (114 73) 3 1
 235 (114 72) 2 -1
 236 (113 71) 3 1
 237 (113 70) 2 -1
 238 (112 69) 3 1
 239 (112 68) 2 -1
 240 (111 67) 3 1
 241 (111 66) 2 -1
